This is MadNLP version v0.8.3, running with cuDSS v0.1.0

Number of nonzeros in constraint Jacobian............:   407296
Number of nonzeros in Lagrangian Hessian.............:   281600

Total number of variables............................:   112750
                     variables with only lower bounds:    56320
                variables with lower and upper bounds:      110
                     variables with only upper bounds:        0
Total number of equality constraints.................:   112640
Total number of inequality constraints...............:    14080
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:    14080

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  71  2.1384224e+01 8.46e-06 2.12e-01  -3.8 1.44e-01    -  1.00e+00 7.09e-01h  1
  72  2.1352968e+01 3.45e-05 1.42e-01  -3.8 3.10e-01    -  3.32e-01 3.30e-01h  1
  73  2.1193698e+01 2.58e-05 5.62e-01  -3.8 7.24e-01    -  2.19e-01 8.65e-01H  1
  74  2.1252060e+01 1.64e-05 2.43e-02  -3.8 1.75e-01    -  1.00e+00 1.00e+00h  1
  75  2.1203795e+01 5.07e-05 1.38e-01  -3.8 8.77e-01    -  1.26e-01 2.01e-01h  1
  76  2.1154837e+01 3.32e-05 1.85e-01  -3.8 2.46e-01    -  5.13e-01 1.00e+00h  1
  77  2.1091948e+01 6.69e-05 1.39e-01  -3.8 1.85e+00  -2.0 1.61e-01 1.32e-01h  1
  78  2.1011002e+01 1.69e-05 2.21e-02  -3.8 9.96e-02  -0.7 1.00e+00 1.00e+00h  1
  79  2.0973872e+01 2.57e-05 4.49e-02  -3.8 2.21e+00  -1.1 4.53e-02 3.10e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  2.1021217e+01 3.14e-05 8.89e-02  -3.8 1.79e-01    -  7.35e-01 1.00e+00h  1
  81  2.0960080e+01 3.51e-05 8.09e-02  -3.8 9.04e-01  -1.6 2.15e-01 1.84e-01h  1
  82  2.0849222e+01 6.66e-05 3.23e-02  -3.8 2.92e-01  -1.2 1.00e+00 1.00e+00h  1
  83  2.0823660e+01 5.85e-05 1.42e-01  -3.8 1.99e-01  -0.8 5.90e-01 1.65e-01h  1
  84  2.0855317e+01 3.50e-05 2.02e-01  -3.8 2.10e-01    -  4.78e-01 1.00e+00h  1
  85  2.0812949e+01 2.74e-05 1.61e-01  -3.8 2.73e-01  -1.2 6.50e-01 2.90e-01h  1
  86  2.0761641e+01 5.02e-05 4.02e-01  -3.8 3.47e+00  -1.7 9.98e-02 5.65e-02h  2
