This is MadNLP version v0.8.3, running with cuDSS v0.1.0

Number of nonzeros in constraint Jacobian............:    23696
Number of nonzeros in Lagrangian Hessian.............:    10560

Total number of variables............................:     7150
                     variables with only lower bounds:     3520
                variables with lower and upper bounds:      110
                     variables with only upper bounds:        0
Total number of equality constraints.................:     7040
Total number of inequality constraints...............:      880
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      880

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  95  1.6957438e+01 2.86e-05 2.47e+01  -3.8 1.54e+00    -  3.43e-02 3.68e-02h  1
  96  1.6923495e+01 3.07e-05 6.85e+01  -3.8 4.61e+01    -  7.33e-04 2.67e-03h  1
  97  1.6842175e+01 5.09e-05 7.74e+01  -3.8 7.99e-01  -0.5 5.72e-02 4.02e-01h  1
  98  1.6818840e+01 5.32e-05 7.66e+01  -3.8 2.92e+02  -1.0 8.86e-04 2.60e-04h  1
  99  1.6811815e+01 1.78e-05 2.80e+01  -3.8 8.99e-02    -  9.20e-02 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  1.6782515e+01 7.47e-06 1.92e+01  -3.8 1.41e-01   0.4 4.13e-01 3.16e-01h  1
 101  1.6740374e+01 1.06e-05 8.40e+00  -3.8 2.47e-01  -0.1 5.62e-01 5.62e-01h  1
 102  1.6723135e+01 1.17e-05 8.20e+00  -3.8 2.10e+00    -  2.20e-02 2.42e-02h  1
 103  1.6677913e+01 1.88e-05 7.81e+01  -3.8 6.69e-01  -0.6 7.85e-02 2.26e-01h  1
 104  1.6618536e+01 4.45e-05 2.71e+01  -3.8 3.87e-01  -0.2 1.02e-01 5.94e-01h  1
 105  1.6618154e+01 4.45e-05 2.69e+01  -3.8 1.49e+00  -0.6 1.73e-02 4.37e-04h  1
 106  1.6546048e+01 5.35e-05 2.52e+01  -3.8 2.77e+00  -1.1 1.79e-02 1.04e-01h  1
 107  1.6522846e+01 5.17e-05 2.35e+01  -3.8 1.36e+00  -0.7 1.93e-01 5.20e-02h  1
 108  1.6495601e+01 5.25e-05 2.27e+01  -3.8 1.50e+01    -  4.05e-03 5.41e-03h  1
 109  1.6474597e+01 5.13e-05 2.07e+01  -3.8 1.78e+00    -  2.06e-02 3.22e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  1.6430506e+01 5.20e-05 8.98e+01  -3.8 2.89e+00  -1.2 1.36e-02 4.68e-02h  1
 111  1.6415631e+01 4.70e-05 8.56e+01  -3.8 2.93e-01   0.2 5.39e-02 1.03e-01h  1
 112  1.6415158e+01 4.70e-05 8.43e+01  -3.8 1.37e+01    -  2.08e-03 1.38e-04h  1
 113  1.6329391e+01 5.83e-05 2.35e+01  -3.8 4.04e-01  -0.3 1.70e-01 9.23e-01h  1
