This is Ipopt version 3.14.14, running with linear solver MUMPS 5.6.2.

Number of nonzeros in equality constraint Jacobian...:     3608
Number of nonzeros in inequality constraint Jacobian.:      140
Number of nonzeros in Lagrangian Hessian.............:     1680

Total number of variables............................:     1155
                     variables with only lower bounds:      560
                variables with lower and upper bounds:       35
                     variables with only upper bounds:        0
Total number of equality constraints.................:     1120
Total number of inequality constraints...............:      140
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      140

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  7.1322666e+01 7.67e-05 1.92e+10  -1.0 8.84e-01    -  1.68e-01 1.56e-02h  5
  91  7.1540301e+01 7.58e-05 3.49e+10  -1.0 9.09e-01    -  4.30e-01 1.57e-02h  5
  92  7.5083569e+01 6.80e-04 5.59e+10  -1.0 7.61e-01    -  2.39e-01 2.54e-01w  1
  93  7.5236847e+01 6.47e-04 5.38e+10  -1.0 7.55e-01    -  1.79e-01 4.52e-02w  1
  94  7.5217098e+01 6.44e-04 5.37e+10  -1.0 3.99e-01    -  1.05e-01 5.41e-03w  1
  95  7.1761756e+01 7.48e-05 5.08e+10  -1.0 5.20e-01    -  2.39e-01 1.59e-02h  4
  96  7.1978786e+01 7.39e-05 6.11e+10  -1.0 7.97e-01    -  1.34e-01 1.60e-02h  5
  97  7.2197916e+01 7.29e-05 1.13e+11  -1.0 6.94e-01    -  5.92e-01 1.62e-02h  5
  98  7.2408284e+01 7.19e-05 1.31e+11  -1.0 6.62e-01    -  9.83e-02 1.65e-02h  5
  99  7.2618730e+01 7.08e-05 3.29e+11  -1.0 5.96e-01    -  1.00e+00 1.65e-02h  5
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  7.2821916e+01 6.97e-05 3.95e+11  -1.0 6.36e-01    -  1.02e-01 1.68e-02h  5
 101  7.3023988e+01 6.86e-05 7.47e+11  -1.0 7.80e-01    -  5.65e-01 1.69e-02h  5
 102  7.3221638e+01 6.74e-05 8.90e+11  -1.0 8.67e-01    -  1.23e-01 1.71e-02h  5
 103  7.3415380e+01 6.62e-05 1.90e+12  -1.0 9.74e-01    -  9.79e-01 1.70e-02h  5
 104  7.3604498e+01 6.50e-05 2.38e+12  -1.0 1.05e+00    -  1.28e-01 1.70e-02h  5
 105  7.6569885e+01 7.97e-04 1.19e+13  -1.0 1.16e+00    -  5.40e-01 2.68e-01w  1
 106  7.6087753e+01 6.46e-04 8.98e+12  -1.0 2.75e-01   2.3 2.15e-01 2.50e-01w  1
 107  7.6087780e+01 6.46e-04 8.98e+12  -1.0 6.10e-04  16.2 8.12e-03 3.28e-01w  1
 108  7.3789835e+01 6.37e-05 3.84e+12  -1.0 4.99e-02  15.7 5.40e-01 1.68e-02h  4
 109  7.3970414e+01 6.25e-05 4.63e+12  -1.0 1.24e+00    -  1.62e-01 1.65e-02h  5
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  7.4144607e+01 6.12e-05 6.56e+12  -1.0 1.32e+00    -  1.00e+00 1.58e-02h  5
 111  7.4309420e+01 6.00e-05 7.33e+12  -1.0 1.10e+00    -  7.04e-02 1.46e-02h  5
 112  7.4479116e+01 5.89e-05 6.46e+12  -1.0 8.34e-01    -  1.84e-01 1.38e-02h  5
 113  7.4639384e+01 5.78e-05 5.74e+12  -1.0 8.10e-01    -  4.53e-02 1.29e-02h  5
 114  7.4793302e+01 5.67e-05 1.53e+12  -1.0 7.68e-01    -  1.49e-01 1.17e-02h  5
 115  7.4935816e+01 5.56e-05 1.78e+12  -1.0 8.35e-01    -  1.10e-03 1.10e-02h  5
 116  7.5183189e+01 5.20e-05 9.84e+11  -1.0 6.62e-01    -  8.89e-04 3.00e-02h  4
 117  7.5384407e+01 4.78e-05 9.43e+11  -1.0 6.28e-01    -  4.36e-02 3.37e-02h  4
 118  7.6841414e+01 2.83e-04 2.83e+12  -1.0 8.91e-01    -  1.05e-01 1.74e-01w  1
 119  7.6726704e+01 2.58e-04 2.32e+15  -1.0 5.23e-02  15.2 2.46e-02 8.69e-02w  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  7.6724903e+01 2.58e-04 2.32e+15  -1.0 5.32e-02  14.7 1.15e-01 1.43e-03w  1
 121  7.5566533e+01 4.40e-05 7.34e+11  -1.0 4.79e-02  14.3 1.05e-01 2.17e-02h  3
 122  7.5651161e+01 4.31e-05 5.86e+11  -1.0 6.19e+00    -  2.18e-02 2.03e-03h  5
 123  7.5488447e+01 3.86e-05 1.70e+14  -1.0 7.99e-02  13.8 4.61e-02 1.04e-01h  1
 124  7.5483945e+01 3.85e-05 1.69e+14  -1.0 8.80e-02  13.3 4.13e-01 1.98e-03h  1
 125  7.5401290e+01 3.70e-05 1.61e+14  -1.0 9.14e-02  12.8 1.95e-01 4.27e-02h  1
 126  7.5273923e+01 3.44e-05 1.47e+14  -1.0 1.03e-01  12.4 1.02e-01 8.32e-02h  1
 127  7.5258564e+01 3.41e-05 1.45e+14  -1.0 8.90e-02  12.8 2.52e-01 1.10e-02h  1
 128  7.5052226e+01 3.04e-05 1.24e+14  -1.0 1.21e-01  12.3 2.32e-01 1.46e-01h  1
 129  7.4849084e+01 2.64e-05 1.00e+14  -1.0 9.37e-02  12.7 2.89e-01 1.69e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  7.4779201e+01 2.27e-05 9.51e+13  -1.0 4.69e-01  12.2 1.55e-02 5.53e-02h  1
 131  7.4778615e+01 2.27e-05 9.51e+13  -1.0 9.84e-02  12.7 5.31e-01 6.42e-04h  1
 132r 7.4778615e+01 2.27e-05 1.00e+03  -1.0 0.00e+00  12.2 0.00e+00 2.92e-07R  6
 133r 7.6215579e+01 1.04e-04 6.21e+01  -1.0 1.05e-01    -  9.44e-01 1.00e+00f  1
 134r 7.8778711e+01 2.66e-04 7.02e+02  -1.0 2.37e-01    -  1.61e-01 5.31e-01f  1
 135r 7.9967149e+01 5.01e-04 1.51e+02  -1.0 7.98e-02    -  7.37e-01 1.00e+00f  1
 136r 8.3197193e+01 6.37e-04 2.37e+02  -1.0 2.15e-01    -  3.21e-01 7.83e-01f  1
 137r 8.2553595e+01 6.74e-04 9.80e+01  -1.0 1.86e-01    -  6.45e-01 7.34e-01f  1
 138r 7.4273475e+01 7.04e-04 3.34e+02  -1.0 2.08e-01    -  6.44e-01 1.00e+00f  1
 139r 6.5339038e+01 7.15e-04 9.92e+01  -1.0 1.34e-01    -  8.62e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140r 6.4530975e+01 7.15e-04 1.06e+01  -1.0 3.17e-01    -  1.00e+00 1.00e+00f  1
 141r 6.4748487e+01 7.14e-04 6.04e-01  -1.0 7.02e-02    -  1.00e+00 1.00e+00f  1
 142r 6.4664466e+01 3.44e-04 4.61e+01  -2.5 1.77e-01    -  5.65e-01 6.40e-01f  1
 143r 6.4541273e+01 2.65e-04 1.24e+02  -2.5 1.07e-01    -  5.27e-01 3.94e-01f  1
 144r 6.4288886e+01 3.67e-04 3.03e+01  -2.5 1.72e-02   2.0 7.66e-01 9.48e-01f  1
 145r 6.3782239e+01 2.92e-04 1.52e+00  -2.5 4.30e-02   1.5 1.00e+00 1.00e+00f  1
 146r 6.3061477e+01 1.87e-04 6.81e+01  -2.5 9.18e-02   1.0 9.97e-01 6.31e-01f  1
 147r 6.2290389e+01 2.28e-04 1.27e+00  -2.5 1.30e-01   0.6 1.00e+00 1.00e+00f  1
 148r 6.1697945e+01 9.41e-05 4.62e+01  -2.5 3.98e-02   1.0 9.05e-01 1.00e+00h  1
 149r 6.1350195e+01 8.00e-05 3.88e+00  -2.5 2.31e-02   1.4 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150r 6.1044721e+01 6.44e-05 2.30e+00  -2.5 4.56e-02   0.9 1.00e+00 1.00e+00f  1
 151r 6.8277482e+01 8.04e-05 1.84e-01  -2.5 1.19e-01    -  1.00e+00 1.00e+00f  1
